"refID","Symbol","Size","LFC_2h_IAA","padj_2h_IAA","Reg_2h_IAA","LFC_4h_IAA","padj_4h_IAA","Reg_4h_IAA","LFC_8h_IAA","padj_8h_IAA","Reg_8h_IAA","LFC_24h_IAA","padj_24h_IAA","Reg_24h_IAA"
"NM_007673","Cdx2",6350,8.75005599611899,2.02480496536838e-09,"UP",9.3567464056839,3.10578557544509e-11,"UP",9.86671545939341,2.27359737690153e-12,"UP",8.90637562909601,4.88670669457279e-10,"UP"
"NM_010426","Foxf1",3769,7.89189876226566,1.85737117361061e-07,"UP",9.54585011622237,3.5662781491243e-11,"UP",9.12795666865301,2.52639806880069e-10,"UP",9.03691827000479,6.87917990856021e-10,"UP"
"NM_008592","Foxc1",3990,7.69272129232688,2.62830802500887e-07,"UP",10.105004144363,1.36952947355917e-12,"UP",9.27704672163329,7.87011643308235e-11,"UP",9.60523016758026,2.88448722706805e-11,"UP"
"NM_152229","Nr2e1",21618,7.53940294318217,5.87827761202355e-07,"UP",8.26607275484085,1.12672075622207e-08,"UP",8.48826661555958,4.11624270472409e-09,"UP",7.82833452094092,1.03273347517235e-07,"UP"
"NM_010225","Foxf2",5591,7.47371896516595,1.85985431316514e-06,"UP",8.60354016224736,9.7037564075782e-09,"UP",8.43206970247014,1.73854089679673e-08,"UP",8.3029924547606,4.52865742796079e-08,"UP"
"NM_009501","Vax1",3843,7.12694638535932,8.06059998284055e-05,"UP",6.60787883978742,0.000135516644652303,"UP",5.8092105988376,0.000715854810074268,"UP",4.77141059753961,0.00734905901938658,"UP"
"NM_001033876","Kcnk9",34161,6.76123369750022,2.4667067769026e-05,"UP",7.81950035137796,2.88466605180318e-07,"UP",7.92955610359994,1.6855224281428e-07,"UP",6.59901971639312,2.15028253470705e-05,"UP"
"NR_024257","4930412O13Rik",5522,6.6731161505391,0.000484716676886849,"UP",5.34278227115045,0.00279744641786635,"UP",7.11270886674461,6.58641307077586e-05,"UP",6.39137965882519,0.000511107614148198,"UP"
"NM_008273","Hoxd11",4694,6.24483093728878,1.64053158680388e-14,"UP",7.84776148195703,1.58228393918628e-23,"UP",7.76587778094665,4.79770543036372e-23,"UP",7.2168887104546,8.72865506119415e-20,"UP"
"NM_022378","Foxb1",3231,6.21657698386122,0.00113717656999566,"UP",5.63409318398899,0.001583815704224,"UP",1.01715765436919,0.0510123736163261,"n.s.",0.547155771100378,0.0539540659483051,"n.s."
